"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"696","Just some of our lovely recipes FOOD WE EAT ! <U+0001F347><U+0001F350><U+0001F34E><U+0001F345><U+0001F34F><U+0001F353><U+0001F34B><U+0001F352><U+0001F37D><U+0001F37D><U+0001F37D><U+0001F37D><U+0001F37D><U+0001F37D><U+0001F37D><U+0001F37D>

.
.
.
.
.
#healthyeating #healthy #fitness… https://t.co/aoar081A0q",FALSE,0,NA,2019-03-18 16:43:49,TRUE,NA,"1107684039937441797",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LouiseRoberts31",0,FALSE,FALSE,NA,NA
"697","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:43:12,FALSE,NA,"1107683884454563840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cktechsandi",23,TRUE,FALSE,NA,NA
"698","Visit my YouTube channel at: https://t.co/6hUxFtO0VM
#cold #sick #sickday #winter #soup #medicine
#food #asmr… https://t.co/h4wVYvqZBY",FALSE,0,NA,2019-03-18 16:41:44,TRUE,NA,"1107683514852487169",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","HandlebarASMR",0,FALSE,FALSE,NA,NA
"699","Healthy Lifestyle : #nutrition #fitness #gym #health #motivation #workout #fit #healthy #bodybuilding #fitfam #diet… https://t.co/mZcTAGX7YZ",FALSE,2,NA,2019-03-18 16:41:34,TRUE,NA,"1107683473895116802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fitjulia70",0,FALSE,FALSE,NA,NA
"700","RT @kokkiescooking: Baked Salmon and Fennel #recipe on https://t.co/PA9OjjerZd #food #foodporn #foodpics #foodie #yum #yummy #cook #cooking…",FALSE,0,NA,2019-03-18 16:40:06,FALSE,NA,"1107683102309142528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KokHwaLie",13,TRUE,FALSE,NA,NA
"701","Here is a #healthy #recipe for PUMPKIN YOGURT from my friends at @GuidingStars . Check out their site for more heal… https://t.co/mOKxqsgdTb",FALSE,0,NA,2019-03-18 16:40:05,TRUE,NA,"1107683099800948741",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","babiesNstuff",0,FALSE,FALSE,NA,NA
"702","A desire to increase available #healthyfood options is the driving force behind one of the newest programs from Bos… https://t.co/QPKP7v3lal",FALSE,0,NA,2019-03-18 16:40:02,TRUE,NA,"1107683086677037056",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","The_BMC",0,FALSE,FALSE,NA,NA
"703","Tomato Rice with Chorizo #recipe on https://t.co/PA9OjjerZd #food #foodporn #foodpics #foodie #yum #cook #cooking… https://t.co/s8SVA7x5d4",FALSE,7,NA,2019-03-18 16:39:39,TRUE,NA,"1107682989167788033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kokkiescooking",3,FALSE,FALSE,NA,NA
"704","<U+0001D412><U+0001D41E><U+0001D42B><U+0001D42F><U+0001D422><U+0001D427><U+0001D420> <U+0001D400><U+0001D426><U+0001D41A><U+0001D433><U+0001D422><U+0001D427><U+0001D420> <U+0001D405><U+0001D428><U+0001D428><U+0001D41D> <U+0001D40C><U+0001D41A><U+0001D41D><U+0001D41E> <U+0001D416><U+0001D422><U+0001D42D><U+0001D421> <U+0001D404><U+0001D431><U+0001D42D><U+0001D42B><U+0001D41E><U+0001D426><U+0001D41E> <U+0001D40B><U+0001D428><U+0001D42F><U+0001D41E> <U+0001F60D><U+2763><U+FE0F>
Masters Kitchen
#tastyfood #healthyfood… https://t.co/6MoBNqRHtE",FALSE,0,NA,2019-03-18 16:38:29,TRUE,NA,"1107682695826399232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MastersKichen",0,FALSE,FALSE,NA,NA
"705","RT @TheRoseVauxhall: Join us for Vegetarian &amp; Vegan Week 18th - 24th March at the Rose. Our Chef and his culinary team will be whipping up…",FALSE,0,NA,2019-03-18 16:38:22,FALSE,NA,"1107682669142392832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheFlexitarian",1,TRUE,FALSE,NA,NA
"706","#primaedopo#frittatadiagretti#healthyfood#ilovecooking#passionforcooking<U+2764><U+FE0F> https://t.co/5fDCfrbd7Z",FALSE,0,NA,2019-03-18 16:35:44,FALSE,NA,"1107682005389578242",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","airin77",0,FALSE,FALSE,NA,NA
"707","RT @HGwellnesswarr1: Meatless Monday! My favorite snack is carrots and home-made hummus! What’s yours?
#yum #healthyfood #health #wellness…",FALSE,0,NA,2019-03-18 16:33:39,FALSE,NA,"1107681482380886026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","himgman",1,TRUE,FALSE,NA,NA
"708","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:32:58,FALSE,NA,"1107681307893686272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cktechRick",23,TRUE,FALSE,NA,NA
