"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"738","RT @KatieMettner: Do you love #Spaghetti? My family does! Their favorite #recipe is my #baked Spaghetti! Grab the recipe here on my #Blog!…",FALSE,0,NA,2019-03-16 17:03:49,FALSE,NA,"1106964297157087232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JanRomes",2,TRUE,FALSE,NA,NA
"739","Tomato, Sage and Cheddar Savory Scones. #cheese #comfortfood #breakfast https://t.co/JANsimczNz https://t.co/pzNxTLa24q",FALSE,1,NA,2019-03-16 16:56:50,FALSE,NA,"1106962540993626112",NA,"<a href=""https://worpdress.org"" rel=""nofollow"">FirstUniversalApp</a>","ross_toa",1,FALSE,FALSE,NA,NA
"740","Do you love #Spaghetti? My family does! Their favorite #recipe is my #baked Spaghetti! Grab the recipe here on my… https://t.co/hrmrIBbygN",FALSE,1,NA,2019-03-16 16:45:16,TRUE,NA,"1106959627118432257",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","KatieMettner",2,FALSE,FALSE,NA,NA
"741","RT @richardredhawk: Shepherd's pie with creamy mashed potato and rich gravy - just like your mum used to make!
#glutenfreedinner #shepherds…",FALSE,0,NA,2019-03-16 16:45:02,FALSE,NA,"1106959569954267137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElGanspo",21,TRUE,FALSE,NA,NA
"742","I’ll never understand why people hate on Spam. My 12yo makes a mean Spam sandwich #comfortfood https://t.co/kTfYrJEFRr",FALSE,1,NA,2019-03-16 16:40:25,FALSE,NA,"1106958409063170050",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pawhanson",0,FALSE,FALSE,NA,NA
"743","@999Adventure I wouldn’t normally #comfortfood #SixNationsRugbyChallenge <U+0001F602>",FALSE,1,"999Adventure",2019-03-16 16:38:41,FALSE,"1106957663433383937","1106957973618864128","976040594891034624","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shellbrown28",0,FALSE,FALSE,NA,NA
"744","<U+0001F973>#Celebrate <U+0001F340>#StPatrickDay <U+0001F340>#weekend with a #Nitro Baby Bob. We’ll be #pouring our 22 #drafts until 10pm tonight. W… https://t.co/rYaxrCfcAC",FALSE,8,NA,2019-03-16 16:28:44,TRUE,NA,"1106955468277202944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2spbrewing",1,FALSE,FALSE,NA,NA
"745","Saturdays are for cooking! Homemade wontons on the lunch menu today. <U+0001F60A> #homemade #comfortfood https://t.co/L4WdIKLN9F",FALSE,8,NA,2019-03-16 16:24:00,FALSE,NA,"1106954276054712320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ashvina_Gangoo",1,FALSE,FALSE,NA,NA
"746","RT @richardredhawk: Shepherd's pie with creamy mashed potato and rich gravy - just like your mum used to make!
#glutenfreedinner #shepherds…",FALSE,0,NA,2019-03-16 16:19:46,FALSE,NA,"1106953211653570561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CleanDropMobile",21,TRUE,FALSE,NA,NA
"747","@ONeilNair1 #Comfortfood #Favfood #Foodie Since we had load shedding, helped mum cook ""Culls"" curry on the outside… https://t.co/1fqKbHfbGj",FALSE,0,"ONeilNair1",2019-03-16 16:15:11,TRUE,NA,"1106952059260207105","864375073","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cindynaidoo3",0,FALSE,FALSE,NA,NA
"748","A day for #comfortfood and lots of #carbs. <U+0001F60B><U+0001F331>#foodcoma 
*
*
*
#veganism #vegan #veganuary #plantbased #vegansofig… https://t.co/qhrAZ0QZfL",FALSE,0,NA,2019-03-16 16:12:10,TRUE,NA,"1106951299659194368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheScaldyVegan",0,FALSE,FALSE,"-6.66666667","52.5"
