"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1197","RT @tasty: Who knew you could make a cake in a rice cooker?!? https://t.co/KSQfM5B4V2",FALSE,0,NA,2019-03-19 11:07:50,FALSE,NA,"1107961875885637632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BulBy972",159,TRUE,FALSE,NA,NA
"1198","RT @tasty: Who knew you could make a cake in a rice cooker?!? https://t.co/KSQfM5B4V2",FALSE,0,NA,2019-03-19 11:07:38,FALSE,NA,"1107961823171629057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","almadibarra",159,TRUE,FALSE,NA,NA
"1199","Thinking to have great Indian food on weekend?

Visit us at Cafe Sunam <U+2714>

<U+0001F3E2>31 Birley Street
Blackpool
<U+0001F310>… https://t.co/b5lx3Lkyo8",FALSE,1,NA,2019-03-19 11:07:37,TRUE,NA,"1107961821112094720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CafeSunam",0,FALSE,FALSE,NA,NA
"1200","RT @SaucyAffairRaw: Vibrant, tasty food, made easy with a range of delicious #rawsauces and their wealth of possibilities.
Enhance your che…",FALSE,0,NA,2019-03-19 11:07:35,FALSE,NA,"1107961811108839430",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","K2SocialMedia3",4,TRUE,FALSE,NA,NA
"1201","RT @tasty: No-Bake Strawberry Cheesecake Dome https://t.co/qj9zE6EQeg",FALSE,0,NA,2019-03-19 11:07:13,FALSE,NA,"1107961718976794629",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maduna_msuthu",540,TRUE,FALSE,NA,NA
"1202","RT @tasty: Make your own personal protein pot with minimal clean-up. The perfect healthy meal for 1! https://t.co/10JTfp58qh",FALSE,0,NA,2019-03-19 11:07:12,FALSE,NA,"1107961716879417349",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saleh_Taffe",275,TRUE,FALSE,NA,NA
"1203","RT @tasty: 4 Impressive Desserts Anyone Can Make https://t.co/Ixnvql4y0s",FALSE,0,NA,2019-03-19 11:07:02,FALSE,NA,"1107961671706763264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saleh_Taffe",243,TRUE,FALSE,NA,NA
"1204","Have you tried this quick-bread recipe? Perfect for a quick breakfast!

Very TASTY with pumpkin, molasses, brown su… https://t.co/MsJOVgPuii",FALSE,7,NA,2019-03-19 11:07:02,TRUE,NA,"1107961671505596416",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Living_Lou",3,FALSE,FALSE,NA,NA
"1205","RT @electriclinc: Join us after work and enjoy 2 for 1 on all mains for a tasty weekday treat <U+0001F37D><U+FE0F> Full details here: 
https://t.co/WbCTUwbIe…",FALSE,0,NA,2019-03-19 11:07:00,FALSE,NA,"1107961665214128128",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","visitlincoln",1,TRUE,FALSE,NA,NA
"1206","NOW THAT IS A TASTY BURGER!  
Every Tuesday, get an extra topping on your burger completely free!! So if your caugh… https://t.co/j9C0tesFAV",FALSE,0,NA,2019-03-19 11:06:50,TRUE,NA,"1107961623682138114",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","customhouse_nd",0,FALSE,FALSE,NA,NA
